command_name,command,motion_interpolation,x,y,z,rx,ry,rz,figure,notes
center,Move,P,41.63,-627.24,734.41,-178.22,0.95,-19.94,5,None
over_1,Move,P,474.69,-314.56,541.74,-176.48,0.11,40.13,5,None
over_2,Move,P,322.7,-183.63,366.45,-178.31,-0.35,42.85,5,None
over_3,Move,P,293.17,-151.36,319.44,-175.59,0.74,45.14,5,None
step_in_1,Move,P,285.86,-147.02,313.86,-179.33,-1.22,42.73,5,None
step_in_2,Move,P,286.34,-147.78,309.6,-179.24,-1.18,42.66,5,None
at: large_electric_gripper,Move,P,285.68,-147.33,306.16,-179.91,-0.9,42.69,5,None
